Nº             REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
137;LARC;AV. NICETO VEGA;5452;32305510/19;980 personas;C;INSCRIPCION VENCIDA;144;16/11/2012;97;15/11/2019;144;16/11/2012
138;GOLDEN CLUB;BALCARCE ;605;624031/20;425 personas;C;INSCRIPCION VENCIDA;1;02/01/2013;2;09/01/2020;1;02/01/2013
139;UGARTE;UGARTE;1640;15163523/19;992 personas;C;INSCRIPCION VENCIDA;82;10/05/2013;59;24/05/2019;149;23/09/2013
140;LP;AV. DE MAYO  ;948;264229728/22;200 personas;C;RENOVADO 202;145;28/08/2013;16;25/08/2022;145;28/08/2013
141;GOLF DE PALERMO;AV. TORNQUIST;6385;28061638/19;950 personas;C;INSCRIPCION VENCIDA;147;10/09/2013;82;19/09/2019;147;10/09/2013
142;ECLIPTICO;AV. RIVADAVIA;7927;31137571/21;743 personas;"""C.C""";RENOVADO 2021;75;23/05/2014;31;22/10/2021;75;23/05/2014
143;JAGER;AV. NICETO VEGA;5422;28384131/19;950 personas;C;INSCRIPCION VENCIDA;107;16/10/2014;85;26/09/2019;107;16/10/2014
144;KUMA ;URIBURU;1073;34610918/22;508 personas;C;RENOVADO 2022;130;05/12/2014;48;14/10/2022;130;05/12/2014
145;VOLT CLUB;AV. CORDOBA;4175/79;36994108/21;350 personas;C;SUSPENDIDO DISFC-2022-49-DGFYC;63;19/06/2015;2;26/01/2022;63;19/06/2015
146;VITA;HONDURAS;5450;27259136/22;756 personas;C;RENOVADO 2022;103;29/10/2015;12;11/08/2022;103;29/10/2015
147;PACHA BS AS;Avda. R OBLIGADO;6151;32156026/15;1942 personas;C;BAJA INSCRIPCION DISP Nº 03/16.;121;23/12/2015;;;;
148;SITGES;AV. CORDOBA;4119;06221943/20;203 personas;CC;INSCRIPCION VENCIDA;33;15/03/2016;33;11/03/2020;33;15/03/2016
149;BLACK ;GORRITI;5516;29474607/19;205 personas;CC;INSCRIPCION VENCIDA;92;23/10/2016;83;20/09/2019;92;23/10/2016
150;JET;"AV. RAFAEL 
OBLIGADO";4801;27581403/22;602 personas;C;RENOVADO 2022;96;07/10/2016;11;11/08/2022;87;03/10/2019
151;ZEGRE;SUCRE;646/8;31500744/21;402 personas;C;RENOVADO 2021;99;20/10/2016;81;27/10/2021;81;28/08/2019
152;NIX PREVIUS;"HIPOLITO
 YRIGOYEN ";847/8;25827534/17;342 personas;C;DENEGATORIA RENOVACION DISFC Nº 108/17;113;25/11/2016;;;113;25/11/2016
153;OLIVIA ´S ;FIGUEROA ALCORTA;6438/42;13064040/18;562 personas;C;INSCRIPCION VENCIDA;57;06/06/2017;57;07/06/2018;57;06/06/2017
154;BRANDY;"AV. RAFAEL 
OBLIGADO";6920;22314831/19;394 personas;C;INSCRIPCION VENCIDA;70;21/07/2017;67;19/07/2019;70;21/07/2017
155;AFRIKA;JUNIN;1787;29530042/21;250 personas;C;RENOVADO 2021;79;17/08/2017;37;28/10/2021;79;17/08/2017
156;ROSE IN RIO/BALI;"AV. RAFAEL 
OBLIGADO";1221;29903477/22;1195 personas;C;RENOVADO 2022;81;25/08/2017;28;22/09/2022;101;25/10/2017
